# File 4/7: nick 61..80
# Format: nick|resource|display|full_name|kota_full
syaiful_pky|5lXTZVLu|syaiful_pky|Syaiful|Malingping
kiki_tgt|twWemUpe|kiki_tgt|Kiki|Palembang
chandra_jkt2|cIu829qf|chandra_jkt2|Chandra|Sidoarjo
tata_psb|fESBozMP|tata_psb|Tata|Patikraja
zaenal_ttu|U0Ph0sJx|zaenal_ttu|Zaenal|Samarinda
budianto_sby|Tmppj2Ju|budianto_sby|Budianto|Mlangsen
irma_mna|y9FoYO9g|irma_mna|Irma|Pekanbaru
rahman_smo|DY04cshl|rahman_smo|Rahman|Tomohon
suharto_bku|8K5x1BqW|suharto_bku|Suharto|Makassarbaru
hamzah_bkl|6gKMnwim|hamzah_bkl|Hamzah|Gresik
iwan_rga|pLOmauQl|iwan_rga|Iwan|Magetan
atep_lbh|tmXHdgyI|atep_lbh|Atep|Trayem
ote_abq|NfkRzrt7|ote_abq|Ote|Bondowoso
entis_bgr|tJwz19wm|entis_bgr|Entis|Lamongan
yanto_srh|Tma3AYz2|yanto_srh|Yanto|Lhokseumawe
naufal_bbo|CkaIN4fM|naufal_bbo|Naufal|Manado
hasbi_ngr|wFjrG5gE|hasbi_ngr|Hasbi|Bontang
hamid_mdn2|X7mh68Dd|hamid_mdn2|Hamid|Ambon
wahyu_gpr|5y4MZjWn|wahyu_gpr|Wahyu|Bandungbaru
sutrisno_skm|z0ZlnyGx|sutrisno_skm|Sutrisno|Sumba
